,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
211,Prima Court,900,Ampang,Condominium,3,1,2,890 ,Partially Furnished,"Playground, Barbeque area, Parking, Security, Swimming Pool, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court",Kuala Lumpur
213,Royal Regent (Sri Putramas 3),2 000,Jalan Kuching,Condominium,3,1,2,1018 ,Fully Furnished,"Minimart, Playground, Swimming Pool, Gymnasium, Tennis Court, Sauna, Parking, Security, Lift, Barbeque area, Multipurpose hall, Club house",Kuala Lumpur
214,Vue Residences,1 700,Titiwangsa,Service Residence,2,1,1,726 ,Partially Furnished,"Gymnasium, Playground, Multipurpose hall, Barbeque area, Security, Swimming Pool, Parking, Lift, Minimart, Tennis Court",Kuala Lumpur
215,Tasikmas,1 300,Bandar Tasik Selatan,Apartment,3,1,2,850 ,Fully Furnished,"Parking, Security, Lift",Kuala Lumpur
220,Wangsa Maju Seksyen2 Flat Block F,750,Wangsa Maju,Flat,2,2,1,580 ,Partially Furnished,"Parking, Playground, Gymnasium, Club house, Jogging Track, Squash Court, Multipurpose hall, Minimart, Barbeque area",Kuala Lumpur
224,Pangsapuri Mawar (Sentul),1 400,tul,Condominium,3,2,2,1010 ,Not Furnished,"Security, Minimart, Parking",Kuala Lumpur
225,Casa Kiara 1,3 000,Mont Kiara,Condominium,4,2,3,1268 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
226,Nusa Mewah Villa Condominium,1 400,Cheras,Condominium,3,2,2,865 ,Fully Furnished,"Playground, Jogging Track, Security, Minimart, Swimming Pool, Parking, Lift, Gymnasium, Barbeque area, Multipurpose hall",Kuala Lumpur
227,Mizumi Residences,1 400,pong,Service Residence,3,2,2,932 ,Partially Furnished,"Jogging Track, Multipurpose hall, Parking, Minimart, Sauna, Club house, Swimming Pool, Gymnasium, Security, Playground, Lift, Barbeque area",Kuala Lumpur
229,Maxim Citilights,1 350,tul,Service Residence,3,1,2,1095 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
232,Kenanga Point,1 599,Pudu,Condominium,3,1,2,900 ,Partially Furnished,"Parking, Squash Court, Gymnasium, Barbeque area, Sauna, Security, Playground, Swimming Pool, Tennis Court",Kuala Lumpur
233,Royal Domain Sri Putramas 2,1 880,Jalan Kuching,Service Residence,3,1,2,1290 ,Partially Furnished,"Minimart, Sauna, Swimming Pool, Tennis Court, Jogging Track, Gymnasium, Barbeque area, Security, Playground, Parking, Lift",Kuala Lumpur
234,Villa Crystal,1 800,mbut,Condominium,3,2,3,1298 ,Partially Furnished,"Jogging Track, Gymnasium, Parking, Sauna, Security, Playground, Swimming Pool",Kuala Lumpur
235,Damansara Foresta,2 000,i Damansara,Condominium,4,2,3,1492 ,Partially Furnished,"Minimart, Jogging Track, Barbeque area, Club house, Swimming Pool, Sauna, Parking, Security, Playground",Kuala Lumpur
236,Damansara Foresta,2 800,i Damansara,Condominium,3,2,3,1610 ,Fully Furnished,"Minimart, Jogging Track, Barbeque area, Club house, Swimming Pool, Sauna, Parking, Security, Playground",Kuala Lumpur
237,Tuan Residency,1 800,Jalan Kuching,Service Residence,3,1,2,1105 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
238,PPA1M Bukit Jalil,1 300,Bukit Jalil,Apartment,4,1,2,1200 ,Not Furnished,"Parking, Security, Lift",Kuala Lumpur
243,Bayu Tasik 1,1 200,Cheras,Condominium,3,2,2,975 ,Partially Furnished,"Security, Minimart, Swimming Pool, Parking, Gymnasium, Barbeque area, Playground, Lift, Multipurpose hall",Kuala Lumpur
245,The Nest Residence @ Genting Klang,1 499,tapak,Service Residence,2,1,1,700 ,Fully Furnished,"Minimart, Tennis Court, Jogging Track, Gymnasium, Lift, Security, Playground, Swimming Pool, Parking, Squash Court",Kuala Lumpur
248,Majestic Maxim,1 400,Cheras,Service Residence,2,2,2,650 ,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",Kuala Lumpur
251,Residensi Alam Damai (PR1MA @ Alam Damai),1 300,Cheras,Apartment,3,2,2,1000 ,Partially Furnished,"Parking, Security, Lift, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
254,The Address @ Taman Desa,3 300,Taman Desa,Condominium,4,2,3,1118 ,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Security, Barbeque area, Sauna, Minimart, Jogging Track, Lift",Kuala Lumpur
255,Regalia Residence,2 600,Jalan Sultan Ismail,Service Residence,2,1,1,805 ,Fully Furnished,"Playground, Gymnasium, Parking, Swimming Pool, Squash Court, Security, Lift, Minimart",Kuala Lumpur
257,Casa Idaman,1 700,Jalan Ipoh,Condominium,3,1,2,1300 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",Kuala Lumpur
258,216 Residences,1 800,chai Lama,Service Residence,2,1,2,804 ,Fully Furnished,"Swimming Pool, Multipurpose hall, Security, Sauna, Gymnasium, Parking, Lift, Playground, Barbeque area",Kuala Lumpur
260,PPA1M Mercu Jalil,1 300,Bukit Jalil,Apartment,4,1,2,1434 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
261,Residensi Jalilmas,1 200,Bukit Jalil,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
262,The Era,2 800,mbut,Service Residence,3,2,2,1033 ,Fully Furnished,"Gymnasium, Playground, Barbeque area, Sauna, Swimming Pool, Jogging Track, Parking, Security",Kuala Lumpur
263,Segar Apartments,1 000,Cheras,Apartment,3,1,2,950 ,Partially Furnished,"Parking, Security, Playground, Lift, Minimart",Kuala Lumpur
267,Residensi Hijauan Lumayan,1 200,ungai Besi,Apartment,3,1,2,1035 ,Partially Furnished,"Security, Playground, Gymnasium, Parking, Swimming Pool, Multipurpose hall, Lift",Kuala Lumpur
270,M Vertica,2 300,Cheras,Condominium,4,2,3,1000 ,Partially Furnished,"Parking, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Multipurpose hall, Playground, Tennis Court",Kuala Lumpur
272,Bayu Tasik 1,1 400,Cheras,Condominium,3,1,2,920 ,Partially Furnished,"Security, Minimart, Swimming Pool, Parking, Gymnasium, Barbeque area, Playground",Kuala Lumpur
273,Pangsapuri Melur (Sentul),1 750,tul,Apartment,3,1,2,1010 ,Fully Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
274,One Maxim,1 700,tul,Apartment,3,1,2,819 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
275,Maxim Citilights,1 350,tul,Service Residence,3,1,2,1150 ,Partially Furnished,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
276,Pangsapuri Bukit Baru,750,mat,Apartment,3,2,2,722 ,Not Furnished,"Parking, Lift, Playground, Minimart",Kuala Lumpur
277,OUG Parklane,1 600,OUG,Apartment,3,2,2,950 ,Fully Furnished,"Parking, Security, Squash Court, Swimming Pool, Playground, Sauna, Minimart",Kuala Lumpur
278,Royal Regent (Sri Putramas 3),1 800,Jalan Kuching,Condominium,2,1,2,880 ,Fully Furnished,"Playground, Gymnasium, Minimart, Sauna, Swimming Pool, Parking, Security, Lift, Multipurpose hall, Barbeque area, Squash Court",Kuala Lumpur
279,PV9 Residences @ Taman Melati,1 800,tapak,Service Residence,3,1,2,850 ,Partially Furnished,"Lift, Security, Parking, Gymnasium, Swimming Pool, Playground, Multipurpose hall",Kuala Lumpur
280,Vista Angkasa,1 300,Bangsar South,Apartment,2,1,2,555 ,Partially Furnished,"Parking, Minimart, Swimming Pool, Jogging Track, Security",Kuala Lumpur
281,Hartamas Regency II,5 800,Mont Kiara,Condominium,7,3,7,3488 ,Partially Furnished,"Minimart, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Parking, Security, Tennis Court, Sauna, Gymnasium, Squash Court",Kuala Lumpur
282,Arte Plus Jalan Ampang,1 500,Ampang,Service Residence,1,1,1,680 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
286,Maxim Residences,1 850,Cheras,Service Residence,3,1,2,1050 ,Fully Furnished,"Swimming Pool, Gymnasium, Security, Parking",Kuala Lumpur
288,Platinum Teratai Residence,1 499,tapak,Apartment,3,2,2,928 ,Partially Furnished,"Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Parking, Lift, Barbeque area, Minimart",Kuala Lumpur
289,Pangsapuri Mawar (Sentul),1 300,tul,Apartment,3,1,2,1000 ,Not Furnished,"Minimart, Parking, Security, Lift, Playground, Jogging Track, Multipurpose hall",Kuala Lumpur
290,Pangsapuri Melur (Sentul),1 500,tul,Apartment,3,1,2,1100 ,Partially Furnished,"Parking, Security, Lift, Playground, Minimart, Jogging Track",Kuala Lumpur
291,Residensi Vista Wirajaya,1 450,tapak,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
292,Suasana Lumayan,1 600,Cheras,Condominium,3,1,2,1142 ,Partially Furnished,"Playground, Gymnasium, Security, Minimart, Sauna, Lift, Parking, Swimming Pool",Kuala Lumpur
294,M Vertica,2 600,Cheras,Condominium,3,2,2,850 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
295,Ascenda Residences @ SkyArena Setapak,1 700,tapak,Condominium,3,2,2,1200 ,Partially Furnished,"Multipurpose hall, Parking, Security, Jogging Track, Swimming Pool, Gymnasium, Barbeque area",Kuala Lumpur
296,The Nest Residence @ Genting Klang,1 500,tapak,Condominium,3,1,2,700 ,Partially Furnished,"Squash Court, Lift, Minimart, Jogging Track, Parking, Security, Playground, Gymnasium, Tennis Court, Swimming Pool",Kuala Lumpur
297,Vista Wirajaya 2 Residensi @ PV9,1 500,tapak,Service Residence,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",Kuala Lumpur
298,Infiniti 3 Residences,2 500,Wangsa Maju,Service Residence,3,2,4,1518 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium, Jogging Track",Kuala Lumpur
299,Vista Wirajaya 2 Residensi @ PV9,1 500,tapak,Service Residence,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",Kuala Lumpur
301,Idaman Residence @ KLCC,4 800,CC,Condominium,3,1,4,1717 ,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Tennis Court, Security, Jogging Track, Barbeque area, Multipurpose hall, Club house, Lift",Kuala Lumpur
303,Residensi Vista Wirajaya,1 550,tapak,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area",Kuala Lumpur
305,Residensi Sefina Mont Kiara,4 600,Mont Kiara,Condominium,3,2,2,1548 ,Fully Furnished,"Security, Swimming Pool, Playground, Sauna, Gymnasium, Tennis Court, Parking, Lift, Minimart, Barbeque area, Club house",Kuala Lumpur
306,Villa Danau,1 250,tapak,Apartment,3,1,2,1100 ,Partially Furnished,"Parking, Jogging Track, Security, Squash Court, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house",Kuala Lumpur
307,Residensi Pandanmas 1,1 500,Desa Pandan,Apartment,3,1,2,850 ,Partially Furnished,"Security, Playground, Swimming Pool, Lift, Parking, Gymnasium, Jogging Track, Sauna, Minimart, Multipurpose hall",Kuala Lumpur
308,Kenanga Point,1 700,Pudu,Condominium,3,1,2,860 ,Partially Furnished,"Jogging Track, Tennis Court, Squash Court, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall",Kuala Lumpur
311,M Vertica,2 300,Cheras,Condominium,3,3,2,850 ,Fully Furnished,"Parking, Security, Swimming Pool, Multipurpose hall, Lift, Playground, Jogging Track, Barbeque area, Minimart, Gymnasium",Kuala Lumpur
315,Residensi Vista Wirajaya,1 450,tapak,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall",Kuala Lumpur
316,Putra Villa,1 800,tapak,Condominium,3,1,2,1125 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium",Kuala Lumpur
317,Residensi Vista Wirajaya,1 650,tapak,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",Kuala Lumpur
318,Residensi Vista Wirajaya,1 750,tapak,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",Kuala Lumpur
321,Plaza Menjalara,1 600,Bandar Menjalara,Condominium,3,2,2,1180 ,Fully Furnished,"Security, Playground, Swimming Pool, Parking, Gymnasium, Barbeque area, Lift, Minimart, Jogging Track",Kuala Lumpur
325,Aman Dua,1 000,pong,Apartment,3,1,1,850 ,Partially Furnished,"Parking, Swimming Pool, Security, Minimart, Lift, Playground, Jogging Track",Kuala Lumpur
326,EkoCheras Service Apartment,3 500,Cheras,Service Residence,2,1,2,1121 ,Fully Furnished,"Tennis Court, Jogging Track, Minimart, Squash Court, Club house",Kuala Lumpur
327,Pangsapuri Mawar (Sentul),1 400,tul,Condominium,3,2,2,1010 ,Fully Furnished,"Security, Minimart, Parking, Lift, Playground, Multipurpose hall, Jogging Track",Kuala Lumpur
328,Desa Villas,2 500,Wangsa Maju,Condominium,4,2,2,1784 ,Not Furnished,"Barbeque area, Playground, Gymnasium, Squash Court, Sauna, Club house, Parking, Swimming Pool, Lift, Security",Kuala Lumpur
329,Melur Apartment (Sentul),1 700,tul,Apartment,3,1,2,1065 ,Fully Furnished,"Parking, Security, Minimart, Lift, Playground",Kuala Lumpur
330,M Centura,2 500,tul,Service Residence,3,1,2,850 ,Fully Furnished,"Gymnasium, Swimming Pool, Playground, Barbeque area, Multipurpose hall, Parking, Security, Lift",Kuala Lumpur
331,Inspirasi Mont Kiara,2 950,Mont Kiara,Service Residence,3,2,2,940 ,Fully Furnished,"Security, Parking, Gymnasium, Club house, Swimming Pool, Lift, Playground, Multipurpose hall",Kuala Lumpur
332,M Centura,2 400,tul,Service Residence,4,2,2,1001 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
333,PV9 Residences @ Taman Melati,1 800,tapak,Condominium,3,2,2,1000 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Jogging Track, Squash Court, Tennis Court",Kuala Lumpur
336,Panorama Residences (Sentul),1 800,tul,Condominium,3,1,2,1100 ,Fully Furnished,"Minimart, Gymnasium, Swimming Pool, Barbeque area, Playground, Parking, Security, Lift, Multipurpose hall, Club house, Tennis Court, Squash Court",Kuala Lumpur
337,"The Veo, Kuala Lumpur",2 200,tapak,Condominium,1,1,1,700 ,Fully Furnished,"Parking, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Security",Kuala Lumpur
338,Residensi Rampai II,2 000,tapak,Apartment,4,2,2,950 ,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Minimart, Barbeque area, Parking, Security, Lift",Kuala Lumpur
341,Residensi Rampai II,1 900,tapak,Condominium,4,2,2,950 ,Partially Furnished,"Playground, Barbeque area, Security, Gymnasium, Multipurpose hall, Sauna, Swimming Pool, Jogging Track, Parking",Kuala Lumpur
348,Putra Villa,1 800,tapak,Condominium,3,1,2,1076 ,Fully Furnished,"Minimart, Club house, Gymnasium, Swimming Pool, Playground, Multipurpose hall",Kuala Lumpur
349,28 Boulevard,1 900,Pandan Perdana,Apartment,2,1,2,678 ,Fully Furnished,"Minimart, Security, Squash Court, Parking, Jogging Track, Lift, Tennis Court, Playground, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
351,222 Residency,650,tapak,Condominium,4,2,2,1200 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
354,Trinity Aquata,1 900,ungai Besi,Condominium,3,2,2,1216 ,Partially Furnished,"Security, Swimming Pool, Gymnasium, Parking, Jogging Track, Lift, Playground",Kuala Lumpur
355,Residensi Vista Wirajaya,1 500,tapak,Service Residence,3,1,2,850 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
357,D'Suria Condominium,2 400,Ampang,Condominium,3,1,2,1060 ,Fully Furnished,"Security, Parking, Swimming Pool, Lift, Playground",Kuala Lumpur
359,Waldorf Tower,2 800,i Hartamas,Service Residence,3,1,3,1000 ,Fully Furnished,"Security, Playground, Squash Court, Sauna, Swimming Pool, Barbeque area, Gymnasium, Parking, Lift",Kuala Lumpur
360,M Vertica,1 800,Cheras,Condominium,3,2,2,850 ,Partially Furnished,"Playground, Swimming Pool, Tennis Court, Barbeque area, Lift, Jogging Track, Parking, Security, Multipurpose hall, Gymnasium",Kuala Lumpur
361,The Andes Condo Villa @ Bukit Jalil,2 000,Bukit Jalil,Condominium,3,2,3,1325 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Jogging Track",Kuala Lumpur
362,Melur Apartment (Sentul),1 750,tul,Apartment,3,1,2,1065 ,Fully Furnished,"Security, Minimart, Parking, Lift, Swimming Pool, Playground, Multipurpose hall",Kuala Lumpur
366,Residensi Rabung KL Timur,3 500,City,Condominium,2,2,2,865 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
367,Platinum Teratai Residence,1 700,tapak,Apartment,3,2,2,928 ,Partially Furnished,"Security, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Lift, Parking, Barbeque area, Minimart",Kuala Lumpur
369,Serini Melawati,3 000,Taman Melawati,Service Residence,3,1,2,1376 ,Fully Furnished,"Swimming Pool, Parking, Security, Playground, Minimart, Gymnasium, Lift",Kuala Lumpur
372,Aman Dua,1 000,pong,Apartment,3,1,2,850 ,Partially Furnished,"Parking, Security, Minimart, Swimming Pool",Kuala Lumpur
373,Residensi Seri Wahyu @ Jalan Kuching KL,1 200,City,Apartment,3,1,2,805 ,Partially Furnished,"Swimming Pool, Squash Court, Lift, Parking, Security, Minimart, Playground, Gymnasium, Jogging Track",Kuala Lumpur
374,Royal Domain Sri Putramas 2,1 800,Jalan Kuching,Service Residence,3,1,2,1300 ,Partially Furnished,"Security, Tennis Court, Jogging Track, Minimart, Sauna, Swimming Pool, Gymnasium, Playground, Barbeque area, Parking",Kuala Lumpur
376,Vista Angkasa,1 900,Bangsar South,Apartment,3,1,2,1200 ,Partially Furnished,"Security, Jogging Track, Minimart, Parking, Swimming Pool, Lift, Playground, Multipurpose hall, Barbeque area, Sauna, Gymnasium, Club house, Tennis Court, Squash Court",Kuala Lumpur
378,Arte Plus Jalan Ampang,1 600,Ampang,Service Residence,2,1,2,589 ,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track, Security, Lift, Swimming Pool, Multipurpose hall",Kuala Lumpur
379,Arte Plus Jalan Ampang,2 500,Ampang,Service Residence,4,1,2,890 ,Fully Furnished,"Jogging Track, Playground, Gymnasium, Parking",Kuala Lumpur
