Title,Price,Area,Category,Size,Bedrooms,Bathrooms
"202 DESA CAHAYA, Jalan Ampang – Nearby KLCC – Freehold",RM 1 250 000,AMPANG,Apartments,1690 sq.ft.,3 Bedrooms,3 Bathrooms
[FOR SALE]THE ELEMENTS JALAN AMPANG|studio|freehold|1 carpark,RM 350 000,AMPANG,Apartments,520 sq.ft.,1 Bedroom,1 Bathroom
WOW HOT! MURAH Menara Polo Desa Pandan Ampang Hilir KL Jom View,RM 475 000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
"Menara Polo Ampang Block H2 Condo For Sales Property : Build Up: 1,485",RM 450 000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
"RENOVATED Kojaya Condominium Ampang, KL",RM 395 000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Condominium Apartment 1421 SF 3r2b at Suria Jelatek Residence,RM 441 000,AMPANG,Apartments,1451 sq.ft.,3 Bedrooms,2 Bathrooms
The Element Residence [FREEHOLD 705Sqft] Jalan Bemban Ampang Hilir,RM 433 000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
[EXCLUSIVE] Dedaun Luxury Duplex Penthouse Taman U-Thant KL,RM 5 900 000,AMPANG,Apartments,7128 sq.ft.,5 Bedrooms,6 Bathrooms
"M Suites, Ampang Hilir",RM 760 000,AMPANG,Apartments,988 sq.ft.,2 Bedrooms,2 Bathrooms
Walking distance to lrt jelatek & lrt dato keramat,RM 620 000,AMPANG,Apartments,1421 sq.ft.,3 Bedrooms,2 Bathrooms
[BALCONY VIEWS KLCC] SRI AMPANG HILIR CONDOMINIUM K.LUMPURr,RM 430 000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Putra Residency,RM 440 000,AMPANG,Apartments,1234 sq.ft.,3 Bedrooms,2 Bathrooms
"公寓出售！Pangsapuri Seri Nilam for sale, Ampang",RM 150 000,AMPANG,Apartments,650 sq.ft.,3 Bedrooms,2 Bathrooms
[BIG 1344 sqft] KLCC view Sri Pinang Villa Taman Nirwana,RM 385 000,AMPANG,Apartments,1344 sq.ft.,3 Bedrooms,2 Bathrooms
"Arte plus ampang condominium , kl",RM 570 000,AMPANG,Apartments,630 sq.ft.,1 Bedroom,1 Bathroom
Paling Murah Menara Polo Ampang Hilir for Sale Big Unit 1485 SQFT,RM 490 000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
"Fully Furnished Condominum M Suites, Jalan Ampang Kuala Lumpur",RM 575 000,AMPANG,Apartments,502 sq.ft.,1 Bedroom,1 Bathroom
Sri ampang hilir condominium,RM 400 000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
[limited unit]1 person 1 unit 3km KLCC monthly installment 800,RM 208 888,AMPANG,Apartments,300 sq.ft.,1 Bedroom,1 Bathroom
M suite Residence For Sale,RM 760 000,AMPANG,Apartments,988 sq.ft.,2 Bedrooms,2 Bathrooms
Doorstep to LRT station Prime Area KLCC High Rental Demand SOHO 0%D/P,RM 208 888,AMPANG,Apartments,300 sq.ft.,1 Bedroom,1 Bathroom
WALKING DISTANCE TO LRT! Condominium Suria Jelatek,RM 524 000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
